Muestra,Descripcion Muestra,Año,Atropello,Caída,Colisión,Choque,Volcadura,Otros ,Muertos,Lesionados Graves,Lesionados Menos Graves,Lesionados Leves,(Incorporar Otra Columna Si es Necesario)
Comunal,RIO NEGRO,2010,5,1,7,15,4,2,3,4,4,34,
Comunal,RIO NEGRO,2011,1,0,14,14,11,1,1,11,5,61,
Comunal,SAN JUAN DE LA COSTA,2010,1,0,3,0,4,0,3,2,2,8,
Comunal,SAN JUAN DE LA COSTA,2011,1,0,4,8,7,0,1,4,3,23,
Comunal,SAN PABLO,2010,2,0,6,2,14,2,2,7,1,31,
Comunal,SAN PABLO,2011,0,1,10,10,10,1,0,7,6,51,
Comunal,CHAITEN,2010,0,0,0,0,0,0,0,0,0,0,
Comunal,CHAITEN,2011,1,0,0,1,5,0,0,4,0,6,
Comunal,FUTALEUFU,2010,0,0,2,0,1,0,0,2,0,6,
Comunal,FUTALEUFU,2011,0,0,0,1,1,0,2,1,0,2,
Comunal,HUALAIHUE,2010,4,0,3,2,7,1,0,1,6,27,
Comunal,HUALAIHUE,2011,3,0,4,4,9,0,1,2,15,10,
Comunal,PALENA,2010,0,0,0,2,0,0,0,1,0,2,
Comunal,PALENA,2011,1,0,0,2,3,0,2,3,1,2,
Regional,XI Región de Aysén,2010,96,3,249,188,78,4,8,50,35,379,
Regional,XI Región de Aysén,2011,76,0,264,169,88,1,16,72,43,387,
Comunal,COIHAIQUE,2010,77,3,211,166,53,0,6,32,15,284,
Comunal,COIHAIQUE,2011,60,0,232,161,53,1,12,56,29,271,
Comunal,LAGO VERDE,2010,0,0,2,1,0,0,0,0,0,5,
Comunal,LAGO VERDE,2011,1,0,0,0,0,0,0,0,0,1,
Comunal,AISEN,2010,16,0,23,11,14,3,1,11,11,57,
Comunal,AISEN,2011,12,0,19,3,9,0,2,7,9,55,
Comunal,CISNES,2010,3,0,3,2,4,1,1,4,5,12,
Comunal,CISNES,2011,2,0,3,2,6,0,0,1,1,14,
Comunal,COCHRANE,2010,0,0,5,3,5,0,0,1,2,12,
Comunal,COCHRANE,2011,1,0,6,3,5,0,1,4,4,26,
Comunal,O'Higgins,2010,0,0,0,0,0,0,0,0,0,0,
Comunal,O'Higgins,2011,0,0,0,0,1,0,0,0,0,2,
Comunal,TORTEL,2010,0,0,1,0,0,0,0,1,0,3,
Comunal,TORTEL,2011,0,0,0,0,0,0,0,0,0,0,
Comunal,CHILE CHICO,2010,0,0,1,1,1,0,0,0,1,2,
Comunal,CHILE CHICO,2011,0,0,1,0,0,0,1,0,0,0,
Comunal,RIO IBANEZ,2010,0,0,3,4,1,0,0,1,1,4,
Comunal,RIO IBANEZ,2011,0,0,3,0,14,0,0,4,0,18,
